,pruning,include_original_features,dataset,averageAUROC,HammingLoss,SubsetAccuracy,RankingLoss,MacroPrecision,MacroRecall,MacroFOne,nodes,leaves,groups,avg_group_features,gen_XofN_time,training_time,#used,#unused,group_max_len,group_min_len
60,False,no_org,fingerprint_ten_mid,0.57718969,0.41648300000000005,0.0411751,0.344481,0.422841,0.518177,0.461898,974.6,487.8,152.9,2.9234778526739733,4.47128373,0.812904139998136,131.9,408.1,7.3,2.0
61,False,with_org,fingerprint_ten_mid,0.57378969,0.418851,0.0389139,0.346224,0.417535,0.498259,0.45048000000000005,984.4,492.7,152.9,2.9234778526739733,4.47128373,1.4277723299979699,131.9,408.1,7.3,2.0
62,True,no_org,fingerprint_ten_mid,0.57511611,0.359186,0.1159659,0.35184000000000004,0.473041,0.23439800000000002,0.307942,80.4,40.7,152.9,2.9234778526739733,4.47128373,0.812904139998136,131.9,408.1,7.3,2.0
63,True,with_org,fingerprint_ten_mid,0.5704661599999999,0.369263,0.11061780000000002,0.353624,0.448874,0.251586,0.314417,102.8,51.9,152.9,2.9234778526739733,4.47128373,1.4277723299979699,131.9,408.1,7.3,2.0
64,False,no_org,CPI_ten_mid,0.57323081,0.40650700000000006,0.0587059,0.351524,0.44299,0.43588699999999997,0.43620099999999995,627.8,314.4,292.6,2.4505132424622778,14.84858432,1.0184864199982258,125.7,1481.3,6.6,2.0
65,False,with_org,CPI_ten_mid,0.57213903,0.405571,0.047829699999999996,0.346,0.44656700000000005,0.467511,0.454298,767.8,384.4,292.6,2.4505132424622778,14.84858432,2.953684370002884,125.7,1481.3,6.6,2.0
66,True,no_org,CPI_ten_mid,0.5709837799999999,0.354561,0.11207130000000001,0.374618,0.523884,0.265687,0.345613,57.6,29.3,292.6,2.4505132424622778,14.84858432,1.0184864199982258,125.7,1481.3,6.6,2.0
67,True,with_org,CPI_ten_mid,0.57731999,0.358534,0.10935239999999999,0.365202,0.516205,0.288532,0.361943,75.2,38.1,292.6,2.4505132424622778,14.84858432,2.953684370002884,125.7,1481.3,6.6,2.0
68,False,no_org,CPI+fingerprint_ten_mid,0.58785175,0.40322,0.0490618,0.343826,0.42944899999999997,0.504815,0.46151100000000006,1017.6,509.3,176.2,2.8669700212168556,19.444921360000002,0.9075879299998633,149.8,1997.2,6.1,2.0
69,False,with_org,CPI+fingerprint_ten_mid,0.5960661899999999,0.40064299999999997,0.0468825,0.341873,0.43233699999999997,0.503252,0.46166,1015.2,508.1,176.2,2.8669700212168556,19.444921360000002,3.404018480000377,149.8,1997.2,6.1,2.0
70,True,no_org,CPI+fingerprint_ten_mid,0.5973722300000001,0.338627,0.1248612,0.344552,0.521514,0.278628,0.356607,93.2,47.1,176.2,2.8669700212168556,19.444921360000002,0.9075879299998633,149.8,1997.2,6.1,2.0
71,True,with_org,CPI+fingerprint_ten_mid,0.5934722100000001,0.34058,0.12701869999999998,0.349641,0.515029,0.270106,0.348999,106.6,53.8,176.2,2.8669700212168556,19.444921360000002,3.404018480000377,149.8,1997.2,6.1,2.0
