Dataset,XofN method,Ung or Org,Macro-AUROC,Hamming Loss,Subset Accuracy,Macro-F1,Macro-Recall,Macro-Precision,Ranking Loss,Nodes; Leaves,#XofN; #Feat/XofN,#Ung. Feats,XofN time (s); PCT tr. time (s)
CPI_high_freq,XofN Vouk,Org,0.595,0.223,0.528,0.872,0.968,0.795,0.164,32.0; 16.5,87.9; 3.2,1551.6,16.3; 2.7
CPI_cardiac,XofN Vouk,Ung,0.555,0.282,0.343,0.172,0.138,0.431,0.244,46.2; 23.6,385.2; 2.8,1476.7,26.3; 1.2
CPI_cardiac,XofN Vouk,Org,0.564,0.286,0.341,0.171,0.135,0.41,0.246,53.0; 27.0,385.2; 2.8,1476.7,26.3; 3.4
CPI+fingerprint_mid_freq,XofN Vouk,Ung,0.609,0.355,0.257,0.429,0.368,0.528,0.256,135.6; 68.3,126.0; 2.9,2043.8,16.3; 0.8
CPI+fingerprint_mid_freq,XofN Vouk,Org,0.597,0.366,0.251,0.429,0.377,0.505,0.257,170.2; 85.6,126.0; 2.9,2043.8,16.3; 3.6
CPI+fingerprint_low_freq,XofN Vouk,Ung,0.594,0.251,0.35,0.228,0.16,0.461,0.281,59.8; 30.4,208.5; 3.1,1982.6,18.0; 1.1
CPI+fingerprint_low_freq,XofN Vouk,Org,0.588,0.25,0.347,0.24,0.171,0.463,0.278,69.6; 35.3,208.5; 3.1,1982.6,18.0; 4.2
CPI+fingerprint_high_freq,XofN Vouk,Ung,0.585,0.229,0.495,0.864,0.948,0.795,0.153,41.4; 21.2,72.5; 3.4,2077.3,13.5; 0.7
CPI+fingerprint_high_freq,XofN Vouk,Org,0.585,0.233,0.493,0.86,0.939,0.795,0.155,62.4; 31.7,72.5; 3.4,2077.3,13.5; 3.5
CPI+fingerprint_cardiac,XofN Vouk,Ung,0.576,0.272,0.364,0.231,0.167,0.406,0.231,67.0; 34.0,151.4; 3.2,2018.9,18.8; 1.0
CPI+fingerprint_cardiac,XofN Vouk,Org,0.587,0.266,0.371,0.26,0.189,0.447,0.229,85.0; 43.0,151.4; 3.2,2018.9,18.8; 4.1
fingerprint_ten,XofN Vouk,Ung,0.594,0.412,0.056,0.583,0.591,0.582,0.295,136.4; 68.7,108.9; 2.3,449.0,3.9; 0.7
