dataset,label,pruning,include_original_features,averageAUROC,FOne,Precision,Recall,nodes,leaves,#constr_feats,training_time
CPI+fingerprint_cardiac,se_C0428977,False,with_org,0.64989785,0.45749302897440236,0.4243824190335818,0.5015878091640287,341.0,171.0,5.5,3.0070595000055618
CPI+fingerprint_cardiac,se_C0428977,True,no_org,0.5,0.0,0.0,0.0,1.0,1.0,5.5,0.2637857300112955
CPI+fingerprint_cardiac,se_C0428977,True,with_org,0.6351290599999999,0.44866639645949996,0.50520142167201,0.4066324003527148,178.8,89.9,5.5,3.0070595000055618
CPI+fingerprint_high_freq,se_C0011603,False,no_org,0.5281008700000001,0.8615704680678731,0.7738097768800467,0.9736093849430866,8.6,4.8,4.7,0.2611870499909855
CPI+fingerprint_high_freq,se_C0011603,False,with_org,0.58049837,0.793778096719172,0.7883627821921366,0.8024593905635949,320.2,160.6,4.7,2.738598969986197
CPI+fingerprint_high_freq,se_C0011603,True,no_org,0.53060207,0.8620541175311244,0.7722700071249461,0.9774875991315195,4.6,2.8,4.7,0.2611870499909855
CPI+fingerprint_high_freq,se_C0011603,True,with_org,0.56172984,0.7960115185984838,0.7854316977954733,0.8102978644212075,202.6,101.8,4.7,2.738598969986197
CPI+fingerprint_high_freq,se_C0012833,False,no_org,0.5918566199999999,0.824506743285335,0.7381707375759224,0.9405799785608471,30.4,15.7,14.3,0.30151615001959725
CPI+fingerprint_high_freq,se_C0012833,False,with_org,0.60365351,0.7876344594247088,0.7740068324669612,0.8049330954730406,336.0,168.5,14.3,2.725692130008247
CPI+fingerprint_high_freq,se_C0012833,True,no_org,0.5444692,0.8290174920685713,0.734044226841666,0.9594295419452472,7.2,4.1,14.3,0.30151615001959725
CPI+fingerprint_high_freq,se_C0012833,True,with_org,0.6051850400000001,0.7853230198641189,0.7738035799943151,0.8007112444312657,228.2,114.6,14.3,2.725692130008247
CPI+fingerprint_high_freq,se_C0015230,False,no_org,0.5663510300000001,0.8562480264678607,0.7696542533408824,0.9675849429645929,19.6,10.3,9.2,0.2859519300283864
CPI+fingerprint_high_freq,se_C0015230,False,with_org,0.5586648999999999,0.785526345005274,0.7792660678757719,0.7930414017142413,325.4,163.2,9.2,2.7285081600071863
CPI+fingerprint_high_freq,se_C0015230,True,no_org,0.53250895,0.8611981571556061,0.7639013664738665,0.9886498683773443,3.4,2.2,9.2,0.2859519300283864
CPI+fingerprint_high_freq,se_C0015230,True,with_org,0.5771661100000001,0.7881325447032438,0.7827910796722455,0.7948305498644853,221.8,111.4,9.2,2.7285081600071863
CPI+fingerprint_high_freq,se_C0018681,False,no_org,0.57665257,0.8754142418110498,0.8034694835849965,0.963366230015887,10.2,5.6,5.3,0.27398449000902475
CPI+fingerprint_high_freq,se_C0018681,False,with_org,0.55304999,0.8244778796041036,0.8063255407855492,0.8451750737287395,296.0,148.5,5.3,2.8332529299892486
CPI+fingerprint_high_freq,se_C0018681,True,no_org,0.54347156,0.8746310806607808,0.8005808438859641,0.9647219204612622,3.6,2.3,5.3,0.27398449000902475
CPI+fingerprint_high_freq,se_C0018681,True,with_org,0.56970393,0.8385759457729869,0.809313245283785,0.8720918194551122,160.6,80.8,5.3,2.8332529299892486
CPI+fingerprint_high_freq,se_C0027497,False,no_org,0.5750270399999999,0.9104191993058135,0.8476217451727054,0.9854401851558512,32.6,16.8,21.7,0.3304885700112209
CPI+fingerprint_high_freq,se_C0027497,False,with_org,0.6110424,0.8735746471370168,0.8625399275691032,0.8878751356612657,225.4,113.2,21.7,2.7590820100158453
