feature,count_ones
cpi_9606.ENSP00000436450,19
cpi_9606.ENSP00000246657,19
cpi_9606.ENSP00000367123,19
cpi_9606.ENSP00000332816,18
cpi_9606.ENSP00000332766,18
cpi_9606.ENSP00000346298,18
cpi_9606.ENSP00000355317,18
cpi_9606.ENSP00000305464,18
cpi_9606.ENSP00000305221,18
cpi_9606.ENSP00000318585,18
cpi_9606.ENSP00000302079,18
cpi_9606.ENSP00000332116,18
cpi_9606.ENSP00000332549,18
cpi_9606.ENSP00000318822,18
cpi_9606.ENSP00000332504,18
cpi_9606.ENSP00000348069,18
cpi_9606.ENSP00000339393,18
cpi_9606.ENSP00000308361,18
cpi_9606.ENSP00000330070,18
cpi_9606.ENSP00000303452,18
cpi_9606.ENSP00000355156,18
cpi_9606.ENSP00000330199,18
cpi_9606.ENSP00000321326,18
cpi_9606.ENSP00000309572,18
cpi_9606.ENSP00000345708,18
cpi_9606.ENSP00000304283,18
cpi_9606.ENSP00000341821,18
cpi_9606.ENSP00000334050,18
cpi_9606.ENSP00000334105,18
cpi_9606.ENSP00000304592,18
cpi_9606.ENSP00000331736,18
cpi_9606.ENSP00000327724,18
cpi_9606.ENSP00000326432,18
cpi_9606.ENSP00000354532,18
cpi_9606.ENSP00000308815,18
cpi_9606.ENSP00000304895,18
cpi_9606.ENSP00000354416,18
cpi_9606.ENSP00000304915,18
cpi_9606.ENSP00000355645,18
cpi_9606.ENSP00000320376,18
cpi_9606.ENSP00000341289,18
cpi_9606.ENSP00000349478,18
cpi_9606.ENSP00000362795,18
cpi_9606.ENSP00000386201,18
cpi_9606.ENSP00000264668,18
cpi_9606.ENSP00000260356,18
cpi_9606.ENSP00000292174,18
cpi_9606.ENSP00000360683,18
cpi_9606.ENSP00000290378,18
cpi_9606.ENSP00000360773,18
cpi_9606.ENSP00000286758,18
cpi_9606.ENSP00000286621,18
cpi_9606.ENSP00000405095,18
cpi_9606.ENSP00000285900,18
cpi_9606.ENSP00000226317,18
cpi_9606.ENSP00000410732,18
cpi_9606.ENSP00000263431,18
cpi_9606.ENSP00000264318,18
cpi_9606.ENSP00000444736,18
cpi_9606.ENSP00000225371,18
cpi_9606.ENSP00000394932,18
cpi_9606.ENSP00000367930,18
cpi_9606.ENSP00000224784,18
cpi_9606.ENSP00000416706,18
cpi_9606.ENSP00000274545,18
cpi_9606.ENSP00000441624,18
cpi_9606.ENSP00000436714,18
